# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	10635
#@/user_id	e20759ef-d2df-41e6-b751-89c12cbdc2a3
a 	啊	c=20 d=2.54268 t=10412
a la bo 	阿拉伯	c=1 d=1 t=3843
a mi 	阿彌	c=0 d=0.1 t=1713
a tong mu 	阿童木	c=1 d=1 t=4047
ai 	愛	c=1 d=1 t=2411
an 	按	c=2 d=1.9802 t=6342
an an jing jing 	安安靜靜	c=1 d=1 t=8091
an jian 	按鍵	c=1 d=1 t=6379
an li 	案例	c=3 d=1.00002 t=5677
an pai 	安排	c=1 d=1 t=6123
an shi 	按時	c=1 d=1 t=8206
an wu zhi 	暗物質	c=1 d=1 t=5476
an zhao 	按照	c=2 d=1 t=5351
an zhuang 	安裝	c=23 d=1.38295 t=9306
and 	and 	c=1 d=1 t=861
ao yun hui 	奧運會	c=1 d=1 t=762
ba 	八	c=1 d=1 t=10026
ba 	吧	c=23 d=2.5319 t=10539
ba 	把	c=8 d=1.21048 t=10465
ba 	爸	c=3 d=2.5514 t=10157
ba chu bai jia 	罷黜百家	c=1 d=1 t=3192
ba jiang 	八講	c=1 d=1 t=2924
ba li 	巴黎	c=1 d=1 t=4901
bai di 	白底	c=1 d=1 t=2074
bai du 	百度	c=8 d=1.00914 t=8532
bai du wang pan 	百度網盤	c=2 d=1 t=7622
bai du yun 	百度雲	c=2 d=1.03096 t=3588
bai fang 	擺放	c=1 d=1 t=8723
bai piao dang 	白嫖黨	c=1 d=1 t=3729
bai ren 	白人	c=2 d=1.97531 t=4030
bai se kong bu 	白色恐怖	c=1 d=1 t=3204
bai tuan 	白團	c=1 d=1 t=5920
ban 	半	c=2 d=1.96079 t=8390
ban 	版	c=8 d=0.153665 t=10583
ban 	班	c=1 d=1 t=2689
ban ben 	版本	c=4 d=0.913931 t=10635
ban gong shi 	辦公室	c=4 d=2.77962 t=7900
ban hang 	班行	c=1 d=1 t=8381
ban wo 	伴我	c=1 d=1 t=3845
ban yun 	搬運	c=1 d=1 t=4158
bang 	磅	c=2 d=1.48191 t=9209
bang ding 	綁定	c=3 d=2.62932 t=1321
bang wo 	幫我	c=0 d=0.1 t=8541
bang zhu 	幫助	c=6 d=2.83602 t=9351
bao 	包	c=1 d=1 t=9024
bao chi 	保持	c=1 d=1 t=1097
bao cun 	保存	c=12 d=1.00079 t=9542
bao cun hao 	保存好	c=1 d=1 t=8055
bao cun le 	保存了	c=1 d=1 t=5072
bao cuo 	報錯	c=5 d=1.00039 t=8374
bao da 	報答	c=1 d=1 t=8548
bao han 	包含	c=5 d=1.64964 t=9943
bao hu 	保護	c=1 d=0.1 t=8329
bao kao 	報考	c=3 d=1.72253 t=10332
bao li 	暴力	c=2 d=1.91393 t=4937
bao liu 	保留	c=1 d=1 t=10312
bao lu 	暴露	c=1 d=1 t=1308
bao ming 	報名	c=5 d=2.21113 t=10626
bao qian 	抱歉	c=1 d=1 t=4637
bao rong 	包容	c=1 d=1 t=3958
bao yuan 	抱怨	c=2 d=1.75957 t=3748
bao zheng 	保證	c=2 d=1.00002 t=2784
bei 	倍	c=1 d=1 t=1066
bei 	被	c=7 d=1.00835 t=9832
bei ding yi 	被定義	c=1 d=1 t=923
bei fen 	備份	c=1 d=1 t=162
bei jing 	北京	c=6 d=1.5627 t=10568
bei jing da xue 	北京大學	c=1 d=1 t=7037
bei kao 	備考	c=1 d=1 t=84
bei po huai 	被破壞	c=1 d=1 t=5031
bei ren 	被人	c=1 d=1 t=4591
bei sai er 	貝賽爾	c=1 d=1 t=1059
bei su 	倍速	c=1 d=1 t=7845
ben 	本	c=3 d=1 t=9672
ben 	笨	c=1 d=1 t=4026
ben ci 	本次	c=1 d=1 t=7075
